"","BName","Type","Address","City","Region","Province","Country","Postal","Ph","BC.Beer.Guide.profile","Status","fulladdress","longitude","latitude"
"1","Barley Station Brewpub","Brewpub","20 Shuswap Street SE","Salmon Arm","Southern Interior","British Columbia","Canada","","","www.bcbeer.ca/breweryselect.aspx?Number=-1838626961","Independent","20 Shuswap Street SE, Salmon Arm, British Columbia, Canada",-119.2850783,50.699702
"2","Central City Brewing","Brewpub","13450 102 Avenue","Surrey","Lower Mainland","British Columbia","Canada","","604-582-6620","www.bcbeer.ca/breweryselect.aspx?Number=-1687454165","Independent","13450 102 Avenue, Surrey, British Columbia, Canada",-122.8499069,49.188455
"3","Townsite Brewing Inc.","Microbrewery","5824 Ash Avenue","Powell River","West Coast","British Columbia","Canada","V8A 4R4","604.483.2111","www.bcbeer.ca/breweryselect.aspx?Number=-1618663199","Independent","5824 Ash Avenue, Powell River, British Columbia, Canada",-124.5512114,49.8742997
"4","Yaletown Brewing Company","Brewpub","1111 Mainland Street","Vancouver","Lower Mainland","British Columbia","Canada","V6B2T9","6046812739","www.bcbeer.ca/breweryselect.aspx?Number=-1509054667","Corporate subsidiary","1111 Mainland Street, Vancouver, British Columbia, Canada",-123.1207075,49.2754449
"5","Taylor's Crossing","Brewpub","1035 Marine Drive","North Vancouver","Lower Mainland","British Columbia","Canada","","604-986-7899","www.bcbeer.ca/breweryselect.aspx?Number=-799487868","Brewery closed","1035 Marine Drive, North Vancouver, British Columbia, Canada",-123.1029426,49.323832
"6","Longwood Brewpub","Brewpub","5775 Turner Road","Nanaimo","Vancouver Island","British Columbia","Canada","","250-729-8225","www.bcbeer.ca/breweryselect.aspx?Number=-654323824","Independent","5775 Turner Road, Nanaimo, British Columbia, Canada",-124.035471,49.2244648
"7","Mill Creek Brewery (Freddy's Brewpub)","Brewpub","948 McCurdy Road","Kelowna","Southern Interior","British Columbia","Canada","","250-491-2695","www.bcbeer.ca/breweryselect.aspx?Number=-365949891","Independent","948 McCurdy Road, Kelowna, British Columbia, Canada",-119.4049289,49.9019819
"8","Tofino Brewing Company","Microbrewery","Unit C & D 681 Industrial Way","Tofino","Vancouver Island","British Columbia","Canada","","250-725-2899","www.bcbeer.ca/breweryselect.aspx?Number=-285900193","Independent","Unit C & D 681 Industrial Way, Tofino, British Columbia, Canada",29.7889248,8.9277211
"9","Deep Cove Brewers and Distillers","Microbrewery","Unit 170 - 2270 Dollarton Hwy","North Vancouver","Lower Mainland","British Columbia","Canada","V7H 1A8","604-770-1136","www.bcbeer.ca/breweryselect.aspx?Number=-284840261","Independent","Unit 170 - 2270 Dollarton Hwy, North Vancouver, British Columbia, Canada",-123.011551,49.3060523
"10","Big Ridge Brewing Company","Brewpub","15133 Hwy 10","Surrey","Lower Mainland","British Columbia","Canada","","604-574-2739","www.bcbeer.ca/breweryselect.aspx?Number=-255731915","Independent","15133 Hwy 10, Surrey, British Columbia, Canada",-122.8049535,49.1045129
"11","Ridge Brewing Company","Brewpub","","Osoyoos","Southern Interior","British Columbia","Canada","","","www.bcbeer.ca/breweryselect.aspx?Number=-119537070","Independent",", Osoyoos, British Columbia, Canada",-119.468163,49.032304
"12","Dix BBQ and Brewery [closed 2010]","Brewpub","871 Beatty Street","Vancouver","Lower Mainland","British Columbia","Canada","","604-682-2739","www.bcbeer.ca/breweryselect.aspx?Number=-39030190","Brewery closed","871 Beatty Street, Vancouver, British Columbia, Canada",-123.1151941,49.276863
"13","Backwoods Brewing","Microbrewery","Unit #3, 26004 Fraser Hwy","Langley","Lower Mainland","British Columbia","Canada","","","www.bcbeer.ca/breweryselect.aspx?Number=1","Brewery closed","Unit #3, 26004 Fraser Hwy, Langley, British Columbia, Canada",-122.5032944,49.0614438
"14","Bastion City Brewing","Microbrewery","","Nanaimo","Vancouver Island","British Columbia","Canada","","","www.bcbeer.ca/breweryselect.aspx?Number=2","Brewery closed",", Nanaimo, British Columbia, Canada",-123.9400647,49.1658836
"15","Bear Brewing","Microbrewery","(see Kamloops Brewing Co.)","Kamloops","Central Interior","British Columbia","Canada","","","www.bcbeer.ca/breweryselect.aspx?Number=3","Brewery closed","(see Kamloops Brewing Co.), Kamloops, British Columbia, Canada",-120.3272674,50.674522
"16","Bowen Island Brewing Co.","Shadow Brand","(See: Kamloops Brewing)","Kamloops","Central Interior","British Columbia","Canada","","","www.bcbeer.ca/breweryselect.aspx?Number=4","Brewery closed","(See: Kamloops Brewing), Kamloops, British Columbia, Canada",-120.3272674,50.674522
"17","Cannery Brewing Company","Microbrewery","12-1475 Fairview Road","Penticton","Southern Interior","British Columbia","Canada","","250-493-2723","www.bcbeer.ca/breweryselect.aspx?Number=5","Independent","12-1475 Fairview Road, Penticton, British Columbia, Canada",-119.5943952,49.4828832
"18","Crannog Ales","Microbrewery","","Sorrento","Central Interior","British Columbia","Canada","","","www.bcbeer.ca/breweryselect.aspx?Number=6","Independent",", Sorrento, British Columbia, Canada",-119.469938,50.87686
"19","Coquihalla Brewery Ltd","Microbrewery","1679 Clivenden Avenue","Delta","Lower Mainland","British Columbia","Canada","","","www.bcbeer.ca/breweryselect.aspx?Number=7","Brewery closed","1679 Clivenden Avenue, Delta, British Columbia, Canada",-122.9728622,49.160753
"20","Fat Cat Brewery (now 'Wolf Brewing')","Microbrewery","#2 - 940 Old Victoria Road","Nanaimo","Vancouver Island","British Columbia","Canada","","","www.bcbeer.ca/breweryselect.aspx?Number=8","Brewery closed","#2 - 940 Old Victoria Road, Nanaimo, British Columbia, Canada",-123.9321251,49.1419729
